Customer ID,"1st September, 2020","2nd September, 2020","3rd September, 2020","4th September, 2020","5th September, 2020","6th September, 2020","7th September, 2020","8th September, 2020","9th September, 2020","10th September, 2020","11th September, 2020","12th September, 2020","13th September, 2020","14th September, 2020","15th September, 2020","16th September, 2020","17th September, 2020","18th September, 2020","19th September, 2020","20th September, 2020","21st September, 2020","22nd September, 2020","23rd September, 2020","24th September, 2020","25th September, 2020","26th September, 2020","27th September, 2020","28th September, 2020","29th September, 2020","30th September, 2020","1st October, 2020","2nd October, 2020","3rd October, 2020","4th October, 2020","5th October, 2020","6th October, 2020","7th October, 2020","8th October, 2020","9th October, 2020","10th October, 2020","11th October, 2020","12th October, 2020","13th October, 2020","14th October, 2020","15th October, 2020","16th October, 2020","17th October, 2020","18th October, 2020","19th October, 2020","20th October, 2020","21st October, 2020","22nd October, 2020","23rd October, 2020","24th October, 2020","25th October, 2020","26th October, 2020","27th October, 2020","28th October, 2020","29th October, 2020","30th October, 2020","31st October, 2020","1st November, 2020","2nd November, 2020","3rd November, 2020","4th November, 2020","5th November, 2020","6th November, 2020","7th November, 2020","8th November, 2020","9th November, 2020","10th November, 2020","11th November, 2020","12th November, 2020","13th November, 2020","14th November, 2020","15th November, 2020","16th November, 2020","17th November, 2020","18th November, 2020","19th November, 2020","20th November, 2020","21st November, 2020","22nd November, 2020","23rd November, 2020","24th November, 2020","25th November, 2020","26th November, 2020","27th November, 2020","28th November, 2020","29th November, 2020","30th November, 2020","1st December, 2020","2nd December, 2020","3rd December, 2020","4th December, 2020","5th December, 2020","6th December, 2020","7th December, 2020","8th December, 2020","9th December, 2020","10th December, 2020","11th December, 2020","12th December, 2020","13th December, 2020","14th December, 2020","15th December, 2020","16th December, 2020","17th December, 2020","18th December, 2020","19th December, 2020","20th December, 2020","21st December, 2020","22nd December, 2020","23rd December, 2020","24th December, 2020","25th December, 2020","26th December, 2020","27th December, 2020","28th December, 2020","29th December, 2020","30th December, 2020","31st December, 2020","1st January, 2021","2nd January, 2021","3rd January, 2021","4th January, 2021","5th January, 2021","6th January, 2021","7th January, 2021","8th January, 2021","9th January, 2021","10th January, 2021","11th January, 2021","12th January, 2021","13th January, 2021","14th January, 2021","15th January, 2021","16th January, 2021","17th January, 2021","18th January, 2021","19th January, 2021","20th January, 2021","21st January, 2021","22nd January, 2021","23rd January, 2021","24th January, 2021","25th January, 2021","26th January, 2021","27th January, 2021","28th January, 2021","29th January, 2021","30th January, 2021","31st January, 2021","1st February, 2021","2nd February, 2021","3rd February, 2021","4th February, 2021","5th February, 2021","6th February, 2021","7th February, 2021","8th February, 2021","9th February, 2021","10th February, 2021","11th February, 2021","12th February, 2021","13th February, 2021","14th February, 2021","15th February, 2021","16th February, 2021","17th February, 2021","18th February, 2021","19th February, 2021","20th February, 2021","21st February, 2021","22nd February, 2021","23rd February, 2021","24th February, 2021","25th February, 2021","26th February, 2021","27th February, 2021","28th February, 2021","1st March, 2021"
JLit30836, $-   , $-   , $500.00 , $-   ," $2,000.00 ", $-   , $-   , $-   , $-   , $-   , $-   , $750.00 , $-   , $500.00 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $500.00 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $500.00 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $500.00 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
AAgu38852, $44.00 ,,,,,,,,,,,,,,,,,,,,,,,,, $6.00 , $7.00 , $-   , $-   , $6.00 , $5.00 , $6.00 , $-   , $6.00 , $-   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $5.00 ,,,,,,,, $5.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
AYou37354, $34.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,, $-   , $-   , $12.00 , $-   , $10.00 , $-   , $10.00 , $-   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $9.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $75.00 
JFos32095, $-   ," $2,500.00 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
ARee38089, $35.00 ,,,,,, $-   , $14.00 , $12.00 ,, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $7.00 ,,,,,,,,,,,,,,,,,,,,, $11.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $75.00 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
AHou37417, $21.40 ,, $5.00 , $5.00 , $-   , $5.00 , $-   , $5.00 , $5.00 ,, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $5.00 , $-   , $-   , $-   ,, $5.00 ,, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
AHer38061, $46.00 ,, $8.00 , $10.00 , $-   , $5.00 , $-   , $8.00 , $9.00 ,, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $5.00 , $7.00 , $5.00 , $7.00 ,,,,,,,,,,,,,,,,,,,,, $5.00 ,,,,, $12.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
AVeg38688, $43.00 ,, $5.00 , $5.00 , $-   , $5.00 , $-   , $6.00 , $5.00 ,, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $6.00 , $-   , $-   , $-   ,, $5.00 ,, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
TRod22397, $-   ,, $-   , $-   , $-   , $-   , $750.00 , $-   , $-   ,, $875.00 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $500.00 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $225.00 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
ABel38976, $36.00 ,, $-   , $-   , $-   , $24.00 , $-   , $-   , $-   ,, $-   , $28.00 , $-   , $-   , $-   , $-   , $-   , $5.00 , $-   , $-   , $12.00 , $-   , $-   , $-   , $-   , $-   , $18.00 , $-   , $-   , $-   , $-   , $-   , $-   , $20.00 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,,,,,,,,,,,, $-   , $-   , $23.00 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $8.00 , $-   , $-   , $20.00 , $-   , $17.00 , $5.00 , $-   , $5.00 , $10.00 , $17.00 , $15.00 , $-   ,, $7.00 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $7.00 , $24.00 , $-   , $7.00 , $-   ,, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $9.00 , $-   , $-   , $9.00 , $-   , $-   , $-   , $8.00 , $-   , $6.00 , $-   , $-   , $-   , $-   , $-   , $5.00 , $-   , $-   , $-   , $5.00 , $6.00 , $-   , $5.00 , $-   , $-   , $-   , $-   , $5.00 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
